9/4/2013 9:34:06 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:36:28 PM,12,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:38:33 PM,77,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:38:38 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:38:40 PM,201,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:38:40 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:38:44 PM,16,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:38:46 PM,16,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:04 PM,16,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:06 PM,16,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:08 PM,16,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:09 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:17 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:22 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:41 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:39:46 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:40:01 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
9/4/2013 9:40:07 PM,203,1,1,::1,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
